Age,Gender,Time
34,"{'Woman': np.float32(0.84386617), 'Man': np.float32(99.156136)}",2025-08-01 08:58:49
34,"{'Woman': np.float32(0.6094338), 'Man': np.float32(99.39057)}",2025-08-01 08:58:50
37,"{'Woman': np.float32(0.53771293), 'Man': np.float32(99.462296)}",2025-08-01 08:58:51
34,"{'Woman': np.float32(0.3718049), 'Man': np.float32(99.62819)}",2025-08-01 08:58:52
36,"{'Woman': np.float32(0.43760747), 'Man': np.float32(99.562386)}",2025-08-01 08:58:53
34,"{'Woman': np.float32(0.88519293), 'Man': np.float32(99.1148)}",2025-08-01 08:58:54
35,"{'Woman': np.float32(0.4374284), 'Man': np.float32(99.56258)}",2025-08-01 08:58:55
34,"{'Woman': np.float32(0.46282682), 'Man': np.float32(99.53718)}",2025-08-01 08:58:56
36,"{'Woman': np.float32(0.6096426), 'Man': np.float32(99.39036)}",2025-08-01 08:58:57
37,"{'Woman': np.float32(0.6234103), 'Man': np.float32(99.37659)}",2025-08-01 08:58:59
36,"{'Woman': np.float32(0.47597018), 'Man': np.float32(99.52403)}",2025-08-01 08:59:00
35,"{'Woman': np.float32(0.46988246), 'Man': np.float32(99.53011)}",2025-08-01 08:59:01
36,"{'Woman': np.float32(0.57286334), 'Man': np.float32(99.42714)}",2025-08-01 08:59:02
36,"{'Woman': np.float32(0.6732664), 'Man': np.float32(99.326744)}",2025-08-01 08:59:03
35,"{'Woman': np.float32(1.0809135), 'Man': np.float32(98.91909)}",2025-08-01 08:59:04
36,"{'Woman': np.float32(1.0261786), 'Man': np.float32(98.973816)}",2025-08-01 08:59:05
37,"{'Woman': np.float32(0.78417414), 'Man': np.float32(99.21583)}",2025-08-01 08:59:06
37,"{'Woman': np.float32(0.53808635), 'Man': np.float32(99.461914)}",2025-08-01 08:59:07
36,"{'Woman': np.float32(0.46453574), 'Man': np.float32(99.53546)}",2025-08-01 08:59:07
36,"{'Woman': np.float32(0.5125929), 'Man': np.float32(99.487404)}",2025-08-01 08:59:08
36,"{'Woman': np.float32(0.5028588), 'Man': np.float32(99.49714)}",2025-08-01 08:59:10
36,"{'Woman': np.float32(0.47087365), 'Man': np.float32(99.52912)}",2025-08-01 08:59:12
36,"{'Woman': np.float32(0.47239637), 'Man': np.float32(99.527596)}",2025-08-01 08:59:13
35,"{'Woman': np.float32(0.45995057), 'Man': np.float32(99.54005)}",2025-08-01 08:59:14
36,"{'Woman': np.float32(0.49670693), 'Man': np.float32(99.50329)}",2025-08-01 08:59:15
36,"{'Woman': np.float32(0.5411905), 'Man': np.float32(99.45882)}",2025-08-01 08:59:16
35,"{'Woman': np.float32(0.68277174), 'Man': np.float32(99.31722)}",2025-08-01 08:59:17
35,"{'Woman': np.float32(0.41562185), 'Man': np.float32(99.58438)}",2025-08-01 08:59:18
35,"{'Woman': np.float32(0.4691498), 'Man': np.float32(99.530846)}",2025-08-01 08:59:19
35,"{'Woman': np.float32(0.9411878), 'Man': np.float32(99.05881)}",2025-08-01 08:59:20
35,"{'Woman': np.float32(0.5272139), 'Man': np.float32(99.47279)}",2025-08-01 08:59:21
34,"{'Woman': np.float32(0.99812186), 'Man': np.float32(99.00187)}",2025-08-01 08:59:22
35,"{'Woman': np.float32(0.79802984), 'Man': np.float32(99.20197)}",2025-08-01 08:59:23
35,"{'Woman': np.float32(0.86947644), 'Man': np.float32(99.130516)}",2025-08-01 08:59:24
34,"{'Woman': np.float32(0.7320079), 'Man': np.float32(99.268)}",2025-08-01 08:59:25
35,"{'Woman': np.float32(0.76196414), 'Man': np.float32(99.23804)}",2025-08-01 08:59:26
38,"{'Woman': np.float32(0.59346545), 'Man': np.float32(99.406525)}",2025-08-01 08:59:27
38,"{'Woman': np.float32(0.5858469), 'Man': np.float32(99.414154)}",2025-08-01 08:59:28
36,"{'Woman': np.float32(0.83625185), 'Man': np.float32(99.16375)}",2025-08-01 08:59:29
37,"{'Woman': np.float32(0.6183287), 'Man': np.float32(99.38167)}",2025-08-01 08:59:30
36,"{'Woman': np.float32(0.54174495), 'Man': np.float32(99.45826)}",2025-08-01 08:59:31
34,"{'Woman': np.float32(0.9931325), 'Man': np.float32(99.00686)}",2025-08-01 08:59:32
34,"{'Woman': np.float32(0.66715187), 'Man': np.float32(99.33285)}",2025-08-01 08:59:33
36,"{'Woman': np.float32(0.48366386), 'Man': np.float32(99.516335)}",2025-08-01 08:59:34
34,"{'Woman': np.float32(0.66636485), 'Man': np.float32(99.33363)}",2025-08-01 08:59:35
35,"{'Woman': np.float32(0.3980101), 'Man': np.float32(99.60199)}",2025-08-01 08:59:36
36,"{'Woman': np.float32(0.43073857), 'Man': np.float32(99.56927)}",2025-08-01 08:59:37
35,"{'Woman': np.float32(0.47221017), 'Man': np.float32(99.52779)}",2025-08-01 08:59:38
35,"{'Woman': np.float32(0.6010905), 'Man': np.float32(99.39891)}",2025-08-01 08:59:39
36,"{'Woman': np.float32(0.45644823), 'Man': np.float32(99.54356)}",2025-08-01 08:59:40
34,"{'Woman': np.float32(0.72425145), 'Man': np.float32(99.27574)}",2025-08-01 08:59:41
34,"{'Woman': np.float32(1.0210875), 'Man': np.float32(98.978905)}",2025-08-01 08:59:42
34,"{'Woman': np.float32(0.53907615), 'Man': np.float32(99.46092)}",2025-08-01 08:59:43
33,"{'Woman': np.float32(0.46358657), 'Man': np.float32(99.53641)}",2025-08-01 08:59:44
32,"{'Woman': np.float32(0.39366615), 'Man': np.float32(99.60633)}",2025-08-01 08:59:45
34,"{'Woman': np.float32(0.6219329), 'Man': np.float32(99.37807)}",2025-08-01 08:59:47
31,"{'Woman': np.float32(0.43088737), 'Man': np.float32(99.569115)}",2025-08-01 08:59:47
30,"{'Woman': np.float32(0.35212544), 'Man': np.float32(99.64787)}",2025-08-01 08:59:48
28,"{'Woman': np.float32(0.63739425), 'Man': np.float32(99.36261)}",2025-08-01 08:59:49
27,"{'Woman': np.float32(1.3704197), 'Man': np.float32(98.629585)}",2025-08-01 08:59:50
25,"{'Woman': np.float32(5.901808), 'Man': np.float32(94.09819)}",2025-08-01 08:59:51
27,"{'Woman': np.float32(11.37665), 'Man': np.float32(88.62335)}",2025-08-01 08:59:52
36,"{'Woman': np.float32(10.968697), 'Man': np.float32(89.03131)}",2025-08-01 08:59:53
34,"{'Woman': np.float32(10.7519455), 'Man': np.float32(89.24806)}",2025-08-01 08:59:54
34,"{'Woman': np.float32(9.662871), 'Man': np.float32(90.33713)}",2025-08-01 08:59:55
32,"{'Woman': np.float32(8.370339), 'Man': np.float32(91.62967)}",2025-08-01 08:59:57
33,"{'Woman': np.float32(7.632073), 'Man': np.float32(92.36793)}",2025-08-01 08:59:58
34,"{'Woman': np.float32(9.07482), 'Man': np.float32(90.92518)}",2025-08-01 08:59:58
35,"{'Woman': np.float32(11.465723), 'Man': np.float32(88.53428)}",2025-08-01 08:59:59
35,"{'Woman': np.float32(11.784196), 'Man': np.float32(88.2158)}",2025-08-01 09:00:00
35,"{'Woman': np.float32(12.190271), 'Man': np.float32(87.80972)}",2025-08-01 09:00:01
35,"{'Woman': np.float32(12.202622), 'Man': np.float32(87.797386)}",2025-08-01 09:00:02
35,"{'Woman': np.float32(12.095109), 'Man': np.float32(87.90489)}",2025-08-01 09:00:03
35,"{'Woman': np.float32(12.248256), 'Man': np.float32(87.75175)}",2025-08-01 09:00:04
35,"{'Woman': np.float32(12.162838), 'Man': np.float32(87.83716)}",2025-08-01 09:00:05
35,"{'Woman': np.float32(12.147698), 'Man': np.float32(87.8523)}",2025-08-01 09:00:06
35,"{'Woman': np.float32(12.225322), 'Man': np.float32(87.77467)}",2025-08-01 09:00:08
35,"{'Woman': np.float32(12.466676), 'Man': np.float32(87.533325)}",2025-08-01 09:00:09
36,"{'Woman': np.float32(12.513912), 'Man': np.float32(87.48609)}",2025-08-01 09:00:10
36,"{'Woman': np.float32(12.473518), 'Man': np.float32(87.52648)}",2025-08-01 09:00:10
35,"{'Woman': np.float32(12.363304), 'Man': np.float32(87.63669)}",2025-08-01 09:00:11
35,"{'Woman': np.float32(12.421723), 'Man': np.float32(87.57827)}",2025-08-01 09:00:12
35,"{'Woman': np.float32(12.367704), 'Man': np.float32(87.63229)}",2025-08-01 09:00:13
35,"{'Woman': np.float32(12.386293), 'Man': np.float32(87.61371)}",2025-08-01 09:00:14
36,"{'Woman': np.float32(12.453211), 'Man': np.float32(87.54679)}",2025-08-01 09:00:15
35,"{'Woman': np.float32(12.4958), 'Man': np.float32(87.5042)}",2025-08-01 09:00:16
36,"{'Woman': np.float32(12.775503), 'Man': np.float32(87.224495)}",2025-08-01 09:00:17
36,"{'Woman': np.float32(12.796664), 'Man': np.float32(87.20334)}",2025-08-01 09:00:18
36,"{'Woman': np.float32(13.075805), 'Man': np.float32(86.924194)}",2025-08-01 09:00:20
36,"{'Woman': np.float32(12.918371), 'Man': np.float32(87.08163)}",2025-08-01 09:00:21
36,"{'Woman': np.float32(12.884748), 'Man': np.float32(87.11525)}",2025-08-01 09:00:22
36,"{'Woman': np.float32(12.740728), 'Man': np.float32(87.25927)}",2025-08-01 09:00:22
36,"{'Woman': np.float32(12.836708), 'Man': np.float32(87.163284)}",2025-08-01 09:00:23
36,"{'Woman': np.float32(12.831694), 'Man': np.float32(87.168304)}",2025-08-01 09:00:24
36,"{'Woman': np.float32(12.894434), 'Man': np.float32(87.10556)}",2025-08-01 09:00:25
36,"{'Woman': np.float32(12.894622), 'Man': np.float32(87.105385)}",2025-08-01 09:00:26
36,"{'Woman': np.float32(12.883848), 'Man': np.float32(87.11616)}",2025-08-01 09:00:27
36,"{'Woman': np.float32(12.764791), 'Man': np.float32(87.235214)}",2025-08-01 09:00:28
36,"{'Woman': np.float32(12.883608), 'Man': np.float32(87.116394)}",2025-08-01 09:00:29
36,"{'Woman': np.float32(12.895088), 'Man': np.float32(87.10491)}",2025-08-01 09:00:30
36,"{'Woman': np.float32(12.869279), 'Man': np.float32(87.13072)}",2025-08-01 09:00:32
